ID,Date,LicenseNo,FacilityID,FacilityName,Type,Street,City,State,LocationID,Reason,SectionViolations,RiskLevel,Geo_Loc,Inspection_Results
3.11035E+13,26-04-2010,4744,8123,7715,RESTAURANT,15522,id-11235901,id_1890134,81876,CANVASS,33,High,locid16406,4
1.0089E+13,21-06-2009,2973,12268,11664,GROCERY STORE,3057,id-11235901,id_1890134,81862,COMPLAINT,33,High,locid878,4
4.0149E+13,01-05-2013,18223,1112,969,RESTAURANT,14988,id-11235901,id_1890134,81883,CANVASS,,High,locid3368,6
3.71577E+13,28-09-2015,20825,20007,19115,RESTAURANT,3661,id-11235901,id_1890134,81859,CANVASS RE-INSPECTION,31,Medium,locid11839,4
4.7478E+13,09-12-2015,2136,16867,10409,RESTAURANT,7876,id-11235901,id_1890134,81886,COMPLAINT,30,High,locid12264,4
2.52343E+13,07-02-2016,13009,7942,7547,RESTAURANT,12275,id-11235901,id_1890134,81877,CANVASS,18,High,locid3935,1
1.76402E+13,04-04-2011,9621,3791,3576,RESTAURANT,2133,id-11235901,id_1890134,81887,CANVASS RE-INSPECTION,32,High,locid8876,4
4.67871E+13,16-07-2018,32170,24054,8766,RESTAURANT,5006,id-11235901,id_1890134,81851,LICENSE,,Low,locid7586,1
3.48785E+13,11-08-2015,27027,24785,23652,CHILDREN'S SERVICES FACILITY,4554,id-11235901,id_1890134,81892,LICENSE RE-INSPECTION,,High,locid10595,4
2.13182E+13,23-04-2012,7131,2892,2707,RESTAURANT,5899,id-11235901,id_1890134,81877,CANVASS,32,High,locid4082,4
1.0215E+13,07-12-2014,26522,5574,5307,RESTAURANT,16017,id-11235901,id_1890134,81864,CANVASS,,Medium,locid1408,6
4.42115E+13,31-07-2016,3350,12919,12263,GROCERY STORE,4538,id-11235901,id_1890134,81867,SUSPECTED FOOD POISONING,33,High,locid8797,4
4.85847E+13,19-10-2016,15323,2017,1829,RESTAURANT,17881,id-11235901,id_1890134,81862,CANVASS,,High,locid735,3
1.09626E+13,07-01-2014,34228,24693,23563,RESTAURANT,14317,id-11235901,id_1890134,81905,CANVASS,16,High,locid15780,1
2.63374E+13,08-12-2014,37390,26965,5722,RESTAURANT,4306,id-11235901,id_1890134,81846,COMPLAINT,2,High,locid7773,5
4.88665E+13,29-08-2010,5661,1286,1142,GAS STATION,16864,id-11235901,id_1890134,81866,COMPLAINT,32,Low,locid3190,4
2.38283E+13,06-09-2012,15738,1211,1064,RESTAURANT,12997,id-11235901,id_1890134,81901,CANVASS,33,High,locid15243,4
2.5385E+13,30-06-2015,35333,22105,21130,RESTAURANT,4998,id-11235901,id_1890134,81851,CANVASS,18,High,locid6907,1
4.72628E+13,11-04-2013,19661,2137,1947,RESTAURANT,16901,id-11235901,id_1890134,81897,CANVASS,21,High,locid1451,5
2.17348E+13,29-07-2010,14430,26262,25054,GROCERY STORE,13485,id-11235901,id_1890134,81885,LICENSE,,Low,locid15481,1
3.45796E+13,18-06-2013,14111,5317,4581,RESTAURANT,8060,id-11235901,id_1890134,81861,CANVASS,32,High,locid4676,4
3.91695E+13,31-07-2016,4787,922,19345,RESTAURANT,17137,id-11235901,id_1890134,81902,COMPLAINT,32,High,locid12146,4
3.79884E+13,10-02-2016,11675,5795,5525,SCHOOL,11623,id-11235901,id_1890134,81877,CANVASS,33,High,locid4246,4
4.07466E+13,08-08-2010,15236,18438,17611,PALETERIA,13866,id-11235901,id_1890134,81884,LICENSE RE-INSPECTION,,High,locid11671,4
2.754E+13,21-08-2016,23283,20715,19810,DAYCARE ABOVE AND UNDER 2 YEARS,4632,id-11235901,id_1890134,81873,LICENSE,32,High,locid243,4
1.18562E+13,24-12-2011,2853,10222,9698,MEAT PACKING,17161,id-11235901,id_1890134,81852,CANVASS,,Medium,locid7754,4
3.54749E+13,18-05-2015,3476,8680,8225,GROCERY STORE,16529,id-11235901,id_1890134,81857,COMPLAINT,11,Medium,locid8770,1
3.54694E+13,07-09-2015,21448,9538,9862,RESTAURANT,12567,id-11235901,id_1890134,81875,CANVASS RE-INSPECTION,33,High,locid15037,4
2.3403E+13,26-04-2015,0,15121,5604,SCHOOL,15092,id-11235901,id_1890134,81904,CANVASS,34,High,locid16065,4
3.36446E+13,01-03-2015,25070,17398,16616,LONG TERM CARE,11988,id-11235901,id_1890134,81854,COMPLAINT,,High,locid4052,4
3.20168E+13,07-05-2018,27767,5888,5627,CHILDREN'S SERVICES FACILITY,2018,id-11235901,id_1890134,81855,LICENSE,,High,locid9750,4
1.39846E+13,21-10-2010,34823,13783,13109,GROCERY STORE,4266,id-11235901,id_1890134,81853,CANVASS,33,High,locid5473,4
4.85399E+13,13-02-2013,20640,9478,8984,RESTAURANT,7768,id-11235901,id_1890134,81852,LICENSE,32,High,locid7930,4
3.07958E+13,21-10-2012,2011,23219,22149,GROCERY STORE,11215,id-11235901,id_1890134,81877,CANVASS,,High,locid3749,6
3.32904E+13,04-10-2015,14500,24113,22991,GROCERY STORE,4300,id-11235901,id_1890134,81853,CANVASS,18,Medium,locid5627,1
2.0295E+13,22-09-2016,33601,2968,2779,SCHOOL,16042,id-11235901,id_1890134,81894,CANVASS,32,High,locid2262,4
1.56891E+13,14-06-2016,3611,15163,14450,RESTAURANT,9106,id-11235901,id_1890134,81902,CANVASS,3,High,locid13040,1
4.25669E+13,24-09-2017,28072,19264,18404,RESTAURANT,13966,id-11235901,id_1890134,81883,CANVASS,49,High,locid3229,4
4.05043E+13,14-11-2012,17486,24866,23734,RESTAURANT,6922,id-11235901,id_1890134,81902,LICENSE,,Medium,locid11959,1
